	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Mean FCI Screen1 RT	Mean FCI Screen2 RT	Mean FCI Screen3 RT	Mean Control Screen1 RT	Mean Control Screen2 RT	Mean Control Screen3 RT	Gender	Class	Group
128	573	session-0	0.0	1.0	21892.666667	16992.222222	7024.333333	6966.888889	7901.444444	7980.111111	3499.555556	5512.555556	F	Mod	F_Mod
129	573	session-1	0.333333	1.0	28737.111111	19542.666667	10161.777778	7464.666667	11110.666667	9947.111111	3164.888889	6430.666667	F	Mod	F_Mod
130	574	session-0	0.444444	1.0	25199.444444	17113.0	6500.0	6467.666667	12231.777778	6423.555556	3427.0	7262.444444	F	Trad	F_Trad
131	574	session-1	0.777778	1.0	26340.111111	15359.0	5260.222222	5703.888889	15376.0	5352.0	3094.444444	6912.555556	F	Trad	F_Trad
132	575	session-0	0.666667	1.0	24670.555556	20664.111111	8363.111111	6157.888889	10149.555556	8214.444444	3897.555556	8552.111111	M	Mod	M_Mod
133	577	session-0	0.444444	1.0	28923.888889	27722.333333	11939.333333	10960.0	6024.555556	12232.666667	10821.666667	4668.0	M	Trad	M_Trad
134	577	session-1	0.555556	1.0	15369.555556	12799.333333	5289.666667	4731.777778	5348.111111	4973.0	2435.555556	5390.777778	M	Trad	M_Trad
135	578	session-0	0.444444	1.0	27652.333333	17818.777778	7602.777778	11849.777778	8199.777778	7672.555556	3521.666667	6624.555556	M	Mod	M_Mod
136	578	session-1	0.444444	1.0	23314.888889	18198.111111	6631.222222	4687.222222	11996.444444	6958.777778	2746.555556	8492.777778	M	Mod	M_Mod
137	579	session-0	0.333333	1.0	12649.555556	11188.222222	4630.0	2689.777778	5329.777778	4519.777778	1799.777778	4868.666667	M	Trad	M_Trad
138	580	session-0	0.444444	1.0	17816.555556	13648.0	6795.111111	4781.111111	6240.333333	5733.777778	2840.222222	5074.0	M	Mod	M_Mod
139	581	session-0	0.666667	1.0	21059.444444	15658.777778	6405.555556	4332.444444	10321.444444	6643.0	2908.444444	6107.333333	M	Trad	M_Trad
140	581	session-1	0.888889	1.0	15353.888889	11926.666667	4604.444444	3303.333333	7446.111111	5239.111111	1910.222222	4777.333333	M	Trad	M_Trad
141	582	session-0	0.333333	1.0	19717.222222	17247.666667	7927.888889	5182.888889	6606.444444	7632.222222	3790.444444	5825.0	F	Mod	F_Mod
142	582	session-1	0.555556	1.0	24200.333333	19093.444444	8450.333333	6065.444444	9684.555556	9507.555556	3516.111111	6069.777778	F	Mod	F_Mod
143	584	session-0	0.333333	1.0	20222.555556	14748.222222	6786.111111	5461.666667	7974.777778	6886.555556	2965.444444	4896.222222	F	Mod	F_Mod
144	584	session-1	0.111111	1.0	17289.0	13711.333333	5504.111111	6161.555556	5623.333333	6230.333333	2823.777778	4657.222222	F	Mod	F_Mod
145	585	session-0	0.555556	1.0	20128.333333	17230.444444	6480.0	4856.111111	8792.222222	8297.888889	2768.888889	6163.666667	M	Mod	M_Mod
146	585	session-1	0.444444	0.888889	20091.333333	16091.333333	6890.111111	4393.0	8808.222222	7805.444444	2896.555556	5389.333333	M	Mod	M_Mod
147	586	session-0	0.666667	1.0	21795.888889	17349.0	5958.333333	4395.0	11442.555556	5709.666667	2803.0	8836.333333	M	Trad	M_Trad
148	586	session-1	0.666667	1.0	22808.222222	17474.444444	6409.888889	3838.666667	12559.666667	7528.0	2225.0	7721.444444	M	Trad	M_Trad
149	587	session-0	0.555556	1.0	25374.0	13760.777778	5837.666667	5707.777778	13828.555556	6131.0	2404.333333	5225.444444	M	Trad	M_Trad
150	587	session-1	0.777778	1.0	18411.0	14795.777778	5421.222222	3945.111111	9044.666667	5938.333333	2696.333333	6161.111111	M	Trad	M_Trad
151	588	session-0	0.222222	1.0	20352.888889	16987.777778	6512.444444	4803.666667	9036.777778	6640.0	3047.444444	7300.333333	F	Trad	F_Trad
152	588	session-1	0.555556	0.888889	19129.111111	20278.333333	5460.777778	3972.333333	9696.0	6148.0	3536.888889	10593.444444	F	Trad	F_Trad
153	589	session-0	0.0	1.0	19769.222222	16531.0	7116.111111	4925.666667	7727.444444	6215.777778	2960.111111	7355.111111	F	Mod	F_Mod
154	589	session-1	0.555556	1.0	19627.222222	14294.444444	5677.0	5143.444444	8806.777778	4956.888889	2206.0	7131.555556	F	Mod	F_Mod
155	590	session-0	0.555556	1.0	22989.888889	18794.333333	8937.555556	5902.333333	8150.0	8856.222222	2825.444444	7112.666667	F	Mod	F_Mod
156	591	session-0	0.222222	0.888889	23498.555556	15718.666667	7753.888889	5007.777778	10736.888889	6278.777778	3310.777778	6129.111111	F	Mod	F_Mod
157	591	session-1	0.555556	1.0	25282.555556	14209.555556	6160.333333	7668.333333	11453.888889	7021.222222	2538.0	4650.333333	F	Mod	F_Mod
158	592	session-0	0.333333	1.0	27011.111111	25562.888889	11503.666667	11304.888889	4202.555556	11777.222222	11005.0	2780.666667	F	Trad	F_Trad
159	592	session-1	0.444444	1.0	20850.444444	14153.444444	5053.333333	5811.222222	9985.888889	6367.777778	2242.111111	5543.555556	F	Trad	F_Trad
160	593	session-0	0.333333	1.0	26819.222222	20071.0	8219.666667	6651.444444	11948.111111	8266.444444	4828.0	6976.555556	F	Trad	F_Trad
161	593	session-1	0.333333	1.0	21052.555556	14441.222222	5606.333333	4426.888889	11019.333333	6084.444444	2001.444444	6355.333333	F	Trad	F_Trad
162	594	session-0	0.444444	1.0	17596.888889	15037.777778	5920.0	5200.666667	6476.222222	6734.888889	2310.0	5992.888889	M	Mod	M_Mod
163	594	session-1	0.666667	1.0	15650.333333	14200.777778	6151.555556	4185.333333	5313.444444	6256.555556	2203.444444	5740.777778	M	Mod	M_Mod
164	595	session-0	0.444444	1.0	18798.333333	16134.666667	7620.777778	4186.333333	6991.222222	9028.222222	2068.888889	5037.555556	M	Mod	M_Mod
165	595	session-1	0.444444	1.0	22355.555556	23385.222222	10077.444444	5137.0	7141.111111	12112.0	4743.111111	6530.111111	M	Mod	M_Mod
166	596	session-0	0.555556	1.0	28823.333333	21748.333333	9057.888889	10164.666667	9600.777778	9356.444444	4826.777778	7565.111111	M	Mod	M_Mod
167	596	session-1	0.777778	1.0	18930.111111	18673.666667	6705.777778	4949.888889	7274.444444	8824.333333	3398.777778	6450.555556	M	Mod	M_Mod
168	597	session-0	0.555556	1.0	19721.0	18990.222222	8625.777778	5985.666667	5109.555556	9321.888889	4744.333333	4924.0	M	Trad	M_Trad
169	597	session-1	0.444444	0.888889	20041.222222	19954.888889	8802.333333	6583.777778	4655.111111	10812.444444	4811.111111	4331.333333	M	Trad	M_Trad
170	598	session-0	0.777778	1.0	21800.555556	14157.222222	5875.888889	4987.222222	10937.444444	4825.666667	2844.0	6487.555556	M	Trad	M_Trad
171	598	session-1	0.888889	1.0	21065.0	11413.333333	3886.111111	5367.0	11811.888889	3865.555556	2001.777778	5546.0	M	Trad	M_Trad
172	604	session-0	0.111111	1.0	19372.444444	16467.333333	7134.777778	4259.111111	7978.555556	7491.111111	3233.888889	5742.333333	M	Mod	M_Mod
173	604	session-1	0.222222	0.888889	19081.0	14283.666667	7340.0	3798.666667	7942.333333	7392.111111	2283.888889	4607.666667	M	Mod	M_Mod
